using device: mps
Total Parameters: 30,142,848
Trainable Parameters: 30,142,848
Model Size: 114.99 MB

Size by component:
transformer: 114.99 MB
loaded 338025 tokens
1 epoch = 82 batches
Training for 20000 steps
step 0, loss: 10.9082, avg_loss: 10.9082, best_loss: 10.9082, lr: 2.00e-05, time/batch: 0.000s
step 10, loss: 10.0767, avg_loss: 10.3552, best_loss: 10.0701, lr: 2.00e-05, time/batch: 0.979s
step 20, loss: 9.8382, avg_loss: 10.1285, best_loss: 9.7673, lr: 2.00e-05, time/batch: 0.942s
step 30, loss: 9.7112, avg_loss: 10.0101, best_loss: 9.7079, lr: 2.01e-05, time/batch: 0.951s
step 40, loss: 9.5076, avg_loss: 9.9036, best_loss: 9.5076, lr: 2.02e-05, time/batch: 0.940s
step 50, loss: 9.4433, avg_loss: 9.8205, best_loss: 9.3763, lr: 2.03e-05, time/batch: 0.946s
step 60, loss: 9.2879, avg_loss: 9.7471, best_loss: 9.2879, lr: 2.04e-05, time/batch: 0.944s
step 70, loss: 9.1755, avg_loss: 9.6742, best_loss: 9.1649, lr: 2.06e-05, time/batch: 0.933s
step 80, loss: 9.1185, avg_loss: 9.6044, best_loss: 8.9996, lr: 2.07e-05, time/batch: 0.942s
step 90, loss: 8.8718, avg_loss: 9.5308, best_loss: 8.7953, lr: 2.09e-05, time/batch: 0.942s
step 100, loss: 8.7972, avg_loss: 9.4455, best_loss: 8.6681, lr: 2.11e-05, time/batch: 0.943s
step 110, loss: 8.8429, avg_loss: 9.2944, best_loss: 8.6681, lr: 2.14e-05, time/batch: 0.946s
step 120, loss: 8.5503, avg_loss: 9.1682, best_loss: 8.5120, lr: 2.16e-05, time/batch: 0.947s
step 130, loss: 8.4348, avg_loss: 9.0406, best_loss: 8.3889, lr: 2.19e-05, time/batch: 0.948s
step 140, loss: 8.3169, avg_loss: 8.9261, best_loss: 8.3169, lr: 2.22e-05, time/batch: 0.940s
step 150, loss: 8.2978, avg_loss: 8.8075, best_loss: 8.1487, lr: 2.25e-05, time/batch: 0.942s
step 160, loss: 8.0441, avg_loss: 8.6853, best_loss: 7.9925, lr: 2.29e-05, time/batch: 0.945s
step 170, loss: 7.9409, avg_loss: 8.5683, best_loss: 7.8767, lr: 2.32e-05, time/batch: 0.947s
step 180, loss: 7.7669, avg_loss: 8.4514, best_loss: 7.7669, lr: 2.36e-05, time/batch: 0.955s
step 190, loss: 7.8629, avg_loss: 8.3485, best_loss: 7.7669, lr: 2.40e-05, time/batch: 0.943s
step 200, loss: 7.6457, avg_loss: 8.2483, best_loss: 7.6457, lr: 2.45e-05, time/batch: 0.955s
step 210, loss: 7.5878, avg_loss: 8.1360, best_loss: 7.5878, lr: 2.49e-05, time/batch: 1.044s
step 220, loss: 7.7368, avg_loss: 8.0333, best_loss: 7.4908, lr: 2.54e-05, time/batch: 1.053s
step 230, loss: 7.5429, avg_loss: 7.9317, best_loss: 7.2957, lr: 2.59e-05, time/batch: 1.044s
step 240, loss: 7.2447, avg_loss: 7.8265, best_loss: 7.2447, lr: 2.64e-05, time/batch: 1.049s
step 250, loss: 7.1636, avg_loss: 7.7236, best_loss: 7.1474, lr: 2.69e-05, time/batch: 1.048s
step 260, loss: 7.0525, avg_loss: 7.6224, best_loss: 7.0525, lr: 2.75e-05, time/batch: 1.054s
step 270, loss: 7.2352, avg_loss: 7.5258, best_loss: 6.9443, lr: 2.80e-05, time/batch: 1.052s
step 280, loss: 6.9988, avg_loss: 7.4397, best_loss: 6.9057, lr: 2.86e-05, time/batch: 1.055s
step 290, loss: 7.0042, avg_loss: 7.3398, best_loss: 6.8156, lr: 2.92e-05, time/batch: 1.051s
